,name,category,sim
0,두숫놈,식당,tensor([[0.2732]])
1,해장요리전문 임사부국밥 미사점,한식당,tensor([[0.3505]])
2,바이더크릭(by the creek),호프,tensor([[0.2503]])
3,카멜레온 다이닝(CHAMELEON DINING),식당,tensor([[0.2324]])
4,낙원할머니뼛칼 본점,한식당,tensor([[0.3305]])
5,하남 찰리황,중국집,tensor([[0.3179]])
6,청록 미나리식당 미사강변점,한식당,tensor([[0.3077]])
7,미분당 미사역점,아시안 음식,tensor([[0.2901]])
8,슬로우캘리 하남미사점,야채,tensor([[0.3070]])
9,담아봄에,한식당,tensor([[0.3117]])
10,스타클럽 5 푸드풋팅(star club 5 food futting),한식당,tensor([[0.3094]])
11,소주물 하남시청점,고기,tensor([[0.2524]])
12,더피쉬워크샵,해물,tensor([[0.1466]])
13,한솥도시락 하남감일점,식당 아님,tensor([[0.2730]])
14,짬뽕관 하남미사점,중국집,tensor([[0.3355]])
15,주덜트,식당,tensor([[0.2750]])
16,연족,고기,tensor([[0.3079]])
17,무궁화주택 하남미사점,식당,tensor([[0.2724]])
18,미사 참숯불갈비,한식당,tensor([[0.3105]])
19,불꾸러기,고기,tensor([[0.3074]])
20,처갓집양념치킨 북위례점,치킨,tensor([[0.3741]])
21,마장동고기집 미사점,고기,tensor([[0.3421]])
22,보배반점 하남미사점,중국집,tensor([[0.3432]])
23,모토이시 하남 미사점,고기,tensor([[0.2793]])
24,인생아구찜 미사점,해물,tensor([[0.1541]])
25,큰집닭강정 위례점,해물,0.0
26,마린보이 코다리1번가(망월점),해물,tensor([[0.1393]])
27,포도 앤 보리,카페,tensor([[0.2373]])
28,한라맥주 미사신도시점,호프,tensor([[0.2748]])
29,준이네 숯불닭갈비,고기,tensor([[0.3365]])
30,프리티플레저,베이커리,tensor([[0.2771]])
31,빈타그런스 브루잉 바,카페,tensor([[0.3595]])
32,돌깨마을맷돌순두부 하남미사점,한식당,tensor([[0.3340]])
33,구가네 닭강정 호프,치킨,tensor([[0.3695]])
34,베르온,양식,tensor([[0.1059]])
35,노모어 피자 하남시청역점,피자,tensor([[0.3324]])
36,손님상,한식당,tensor([[0.3430]])
37,아담만두(미사점),분식,tensor([[0.1913]])
38,방배동 할매쭈꾸미 하남미사점,해물,tensor([[0.1480]])
39,탐나는 피자 하남점,피자,tensor([[0.3847]])
40,윈터포레스트1224(Winter Forest 1224),카페,tensor([[0.3355]])
41,대동면옥 올림픽공원직영점,한식당,tensor([[0.3182]])
42,소소밀 베이커리(SoSoMeal Bakery),베이커리,tensor([[0.3780]])
43,나타 커피 하우스,카페,tensor([[0.3043]])
44,라이크어시네마 하남미사점,카페,tensor([[0.2215]])
45,조선부뚜막 하남감일점,고기,tensor([[0.3731]])
46,오고가 미사점,해물,tensor([[0.2455]])
47,미사 메밀관,한식당,tensor([[0.3402]])
48,한솥 미사역9번출구점,식당 아님,tensor([[0.3053]])
49,심플레이스 하남점,카페,tensor([[0.3165]])
50,한양화로 위례점,카페,0.0
51,한없는커피,카페,0.0
52,하타네 하남미사점,카페,0.0
53,오션스펍 하남미사점,카페,0.0
54,옥된장 미사스카이폴리스점,카페,0.0
55,역전할머니맥주 하남북위례점,카페,0.0
56,레디타임(readytime),카페,0.0
57,탭플레이커피 스타필드 하남점,카페,0.0
58,화포식당 감일점,고기,tensor([[0.3510]])
59,한회장댁,고기,0.0
60,춘리마라탕 미사점,고기,0.0
61,모랑 하남지산IS점,한식당,tensor([[0.3361]])
62,생마차 하남미사점,한식당,0.0
63,크닭,한식당,0.0
64,귀한족발 하남감일지구점,고기,tensor([[0.2719]])
65,솥단지 찹쌀순대국,식당,tensor([[0.2698]])
66,플라워앤쭈,한식당,tensor([[0.2704]])
67,딜리스볼,한식당,tensor([[0.3066]])
68,게런티 홀덤 라운지,한식당,0.0
69,힘난다버거 하남감일점,햄버거,tensor([[0.3804]])
70,행복소머리곰탕전문,한식당,tensor([[0.3119]])
71,츠카미치,일식집,tensor([[0.1967]])
72,자담치킨 하남풍산점,일식집,0.0
73,시온미반,한식당,tensor([[0.3379]])
74,떠오름 푸드,식당 아님,tensor([[0.2015]])
75,고메스퀘어 미사점,뷔페,tensor([[0.3275]])
76,더피제리아마켓,피자,tensor([[0.3907]])
77,삼산회관 하남미사강변점,고기,tensor([[0.3157]])
78,더노벰버라운지 하남감일점,고기,0.0
79,압구정화로구이 하남시청점,고기,0.0
80,죽이야기 감일점,한식당,tensor([[0.3096]])
81,봄봄 하남미사점,한식당,tensor([[0.3202]])
82,레알 청아간장게장,한식당,tensor([[0.3208]])
83,아토키토 하남위례점,야채,tensor([[0.3492]])
84,김뚜껑 부대찌개 미사역점,한식당,tensor([[0.3320]])
85,운미가,식당,tensor([[0.2814]])
86,미사정육왕,고기,tensor([[0.3500]])
87,라스트춘선 하남점,한식당,tensor([[0.3048]])
88,밥밥디라라 하남미사강변점,한식당,tensor([[0.2749]])
89,또래오래 북위례점,치킨,tensor([[0.3286]])
90,디디키키 베이커리,베이커리,tensor([[0.3240]])
91,참살이 샐러드,야채,tensor([[0.3494]])
92,마장동 정 순대국,식당,tensor([[0.2744]])
93,시선 하남미사점,일식집,tensor([[0.3283]])
94,우리할매떡볶이 하남미사점,분식,tensor([[0.2079]])
95,처갓집양념치킨 감일점,치킨,tensor([[0.3849]])
96,탕화쿵푸 감일점,중국집,tensor([[0.2319]])
97,편백가원 하남미사점,샤브샤브,tensor([[0.2173]])
98,한남동그집 현대지식산업센터2차점,식당,tensor([[0.2901]])
99,브라운돈까스 하남감일점,돈가스,tensor([[0.1492]])
100,딤타오 하남스타필드점,중국집,tensor([[0.2907]])
101,산드르 한방약초 샤브,한식당,tensor([[0.3039]])
102,한솥도시락 미사2동점,식당 아님,tensor([[0.2672]])
