,name,position,total_distance,total_time
0,두숫놈,경기 하남시 하남대로 795,4665,3735
1,해장요리전문 임사부국밥 미사점,경기 하남시 미사강변한강로220번길 32 1층,748,592
2,바이더크릭(by the creek),"경기 하남시 미사강변중앙로 221 304호(망월동, 센트럴파크2)",1456,1213
3,카멜레온 다이닝(CHAMELEON DINING),경기 하남시 미사강변중앙로 193 2층 Chameleon Dining,1735,1411
4,낙원할머니뼛칼 본점,경기 하남시 검단로 28 202호,7317,5845
5,하남 찰리황,경기 하남시 미사강변대로 48 1층 109호,3071,2452
6,청록 미나리식당 미사강변점,경기 하남시 미사강변한강로 135 다동 2층 231호,490,358
7,미분당 미사역점,경기 하남시 미사강변동로 82 서건미사메트로타워 1층 107호,1880,1458
8,뽁당볶음밥 미사점,경기 하남시 미사강변대로 62 108호,2964,2376
9,슬로우캘리 하남미사점,경기 하남시 미사강변중앙로 180 힐스테이트 미사역 그랑파사쥬 1층 1021호,1821,1444
10,담아봄에,경기 하남시 검단산로218번길 3 . 1층,6032,4831
11,스타클럽 5 푸드풋팅(star club 5 food futting),"경기 하남시 미사강변중앙로 220 2층 202,203호",1433,1167
12,소주물 하남시청점,경기 하남시 하남대로776번길 61-10 1층,4619,3746
13,더피쉬워크샵,경기 하남시 미사강변동로 95,1690,1360
14,한솥도시락 하남감일점,경기 하남시 감일백제로180번길 17 퀸즈에비뉴 1층 125호,9638,7518
15,짬뽕관 하남미사점,경기 하남시 미사강변중앙로 180 BL11동 1층 1012호,1821,1444
16,하나참치&스시,인천 남동구 예술로226번길 34 로뎀프라자,53528,42500
17,주덜트,경기 하남시 미사강변동로 95 힐스테이트 미사역 그랑파사쥬 1035호,1690,1360
18,연족,경기 하남시 미사강변중앙로 226 1층 129호 연족,1343,1102
19,무궁화주택 하남미사점,"경기 하남시 미사강변중앙로170번길 10 1층 108, 109호",1982,1592
20,미사 참숯불갈비,경기 하남시 미사강변한강로 290-3 상가동 119호,1378,1111
21,불꾸러기,경기 하남시 미사강변서로 45 정문단지상가 307동 114호,3310,2665
22,처갓집양념치킨 북위례점,"경기 하남시 위례대로6길 20-2 301동108호(학암동,위례호반써밋)",13128,10213
23,마장동고기집 미사점,"경기 하남시 미사강변대로226번안길 17 1층 105, 106, 107, 108호",1288,1163
24,보배반점 하남미사점,"경기 하남시 미사강변중앙로 11 2층 202, 203, 204호",3666,3053
25,모토이시 하남 미사점,"경기 하남시 미사강변중앙로 180 힐스테이트 미사역 그랑파사쥬 1층 1028, 1060호",1821,1444
26,돈미품 프리미엄삼겹(하남점),경기 하남시 미사강변대로54번길 75 2층 202호,2959,2401
27,인생아구찜 미사점,경기 하남시 미사강변중앙로 220 1층 109호,1433,1167
28,큰집닭강정 위례점,경기 하남시 위례대로6길 95 206호,12939,10045
29,마린보이 코다리1번가(망월점),경기 하남시 미사강변북로30번길 19 1층,1449,1178
30,포도 앤 보리,경기 하남시 하남대로784번길 40-2,4519,3664
31,한라맥주 미사신도시점,경기 하남시 미사강변중앙로 164 1층 111호,2036,1626
32,준이네 숯불닭갈비,경기 하남시 미사강변한강로 270-1 201동 1층 1-186호,1335,1082
33,프리티플레저,경기 하남시 미사강변중앙로 190 216호,1735,1382
34,빈타그런스 브루잉 바,경기 하남시 미사강변중앙로 190 롯데캐슬스타 253호,1735,1382
35,돌깨마을맷돌순두부 하남미사점,경기 하남시 미사대로 550 현대지식산업센터 1차 게이트5번건물 2층 64호,2268,1853
36,구가네 닭강정 호프,경기 하남시 미사강변한강로 270-1 호반써밋상가 1층 1-192호,1335,1082
37,베르온,"경기 하남시 미사강변중앙로 157 112, 113호",2107,1676
38,노모어 피자 하남시청역점,경기 하남시 하남대로 830-1 B1층 B113호,4302,3419
39,손님상,경기 하남시 미사강변동로 73 노블레스 1층 122호,1839,1486
40,아담만두(미사점),경기 하남시 미사강변동로 95 힐스테이트 미사 역 그랑파사쥬 1층 1137호,1690,1360
41,방배동 할매쭈꾸미 하남미사점,경기 하남시 미사강변한강로 295 1층 136호,1262,987
42,탐나는 피자 하남점,경기 하남시 신장1로33번길 41 1층 일부호,4728,3787
43,윈터포레스트1224(Winter Forest 1224),경기 하남시 검단산로 267 1층,5631,4515
44,하이롤러 미사,경기 남양주시 와부읍 수레로 8-8 2층,12218,9670
45,대동면옥 올림픽공원직영점,경기 하남시 감일남로 30 1층,10887,8441
46,소소밀 베이커리(SoSoMeal Bakery),경기 하남시 신장동로29번안길 19 1층 103호,4220,3373
47,나타 커피 하우스,경기 하남시 하남유니온로 10 근린생활시설 1층 101호,4173,3344
48,라이크어시네마 하남미사점,경기 하남시 미사강변중앙로 226 1층 118호,1343,1102
49,간난이네,경기 하남시 신장1로3번길 18,5220,4108
50,조선부뚜막 하남감일점,경기 하남시 감일백제로180번길 17 122~123호,9638,7518
51,오고가 미사점,경기 하남시 미사강변남로 87 205호,2131,1723
52,미사 메밀관,경기 하남시 미사강변한강로 270-1 호반써밋 상가 201동 1층 136호,1335,1082
53,한솥 미사역9번출구점,경기 하남시 미사강변동로 81 108호,1753,1395
54,죽에 진심,서울 관악구 문성로 233 1층 105호,30014,23858
55,심플레이스 하남점,"경기 하남시 미사강변한강로 295 112, 113, 114, 115호",1262,987
56,한양화로 위례점,경기 하남시 위례대로 190 1층 119호,13906,10912
57,케이터링 다연,경기 하남시 초이로 49 2층,6187,5113
58,쉘터나인,경기 하남시 미사대로 550 현대지식산업센터1차 10층 c-0001호,2268,1853
59,한없는커피,경기 하남시 미사강변중앙로 218 1층 105호,1355,1119
60,하타네 하남미사점,경기 하남시 미사강변중앙로 180 1층 1008호 11-1bl,1821,1444
61,오션스펍 하남미사점,경기 하남시 미사강변중앙로 200 E편한세상시티미사 202호,1573,1269
62,비몽사몽,경기 포천시 선마로 6-1,46077,36096
63,옥된장 미사스카이폴리스점,경기 하남시 미사강변한강로 135 나동 1층 0160호(스카이폴리스),490,358
64,역전할머니맥주 하남북위례점,경기 하남시 위례학암로13번길 28 1층,12723,9871
65,레디타임(readytime),경기 하남시 미사강변중앙로198번길 29 104,-1,-1
66,파스타예요 하남미사점,경기 하남시 미사강변남로 131 2층 212호,1715,1341
67,탭플레이커피 스타필드 하남점,경기 하남시 미사대로 750 스타필드 하남 1층 일렉트로마트,4661,3740
68,화포식당 감일점,"경기 하남시 감일백제로180번길 17 1층 111, 112호",9638,7518
69,한회장댁,경기 하남시 신장1로 12 1층 103호,5131,4146
70,춘리마라탕 미사점,경기 하남시 아리수로 570 1층 1072호,1212,1008
71,모랑 하남지산IS점,경기 하남시 미사대로 510 1층 107호,1894,1527
72,생마차 하남미사점,"경기 하남시 미사강변중앙로 180 힐스테이트 그랑파사쥬 1029호,1061호",1821,1444
73,크닭,경기 하남시 신평로 39-13 1층,4877,3866
74,귀한족발 하남감일지구점,경기 하남시 감일백제로180번길 16 108~109호,9678,7547
75,솥단지 찹쌀순대국,"경기 하남시 미사대로 520 제1층 제씨씨01-022, 씨씨01-023호",1967,1638
76,플라워앤쭈,경기 하남시 미사강변동로 100-1 1098~1103호,1499,1186
77,딜리스볼,경기 하남시 미사강변대로226번안길 9 미사드림타워 1층 딜리스볼,1307,1188
78,게런티 홀덤 라운지,경기 하남시 신장로 156 2층 202호,4600,3634
79,힘난다버거 하남감일점,경기 하남시 감일중앙로 80 아클라우드상가 2층 G007호,9417,7360
80,행복소머리곰탕전문,경기 하남시 미사강변중앙로 189 1층 106호,1787,1448
81,시엠프레 그랑파사쥬,경기 하남시 미사강변중앙로 180 힐스테이트미사역그랑파사쥬11BL 2038호,1821,1444
82,츠카미치,경기 하남시 미사강변한강로 270-1 1층 130호,1335,1082
83,자담치킨 하남풍산점,경기 하남시 세미로1길 7,4181,3479
84,시온미반,경기 하남시 감일로 107 1층,9568,7410
85,떠오름 푸드,충북 청주시 서원구 수영로8번길 24,142725,110530
86,고메스퀘어 미사점,"경기 하남시 미사강변동로 95 지하 1층 1069호, 1096호",1690,1360
87,카페 포지타노,부산 동구 범일로 125 7F,-1,-1
88,상상오리 미사점,경기 하남시 미사강변중앙로 190 1층 179호,1735,1382
89,더피제리아마켓,경기 하남시 미사강변북로30번길 129 1층,1560,1262
90,삼산회관 하남미사강변점,경기 하남시 미사강변북로30번길 134 1층 101호,1534,1241
91,더노벰버라운지 하남감일점,경기 하남시 감일중앙로 80 아클라우드감일 상가2층 2074호,9417,7360
92,(주)더스윙제트 에프앤비,경기 하남시 미사강변중앙로158번길 27 8층 802호 일부,1931,1552
93,오빠(Oh BAR),부산 영도구 태종로 395-1,-1,-1
94,압구정화로구이 하남시청점,경기 하남시 대청로 38-8 1층,4605,3792
95,죽이야기 감일점,경기 하남시 감일중앙로 80 아클라우드 지하1층 B019호,9417,7360
96,봄봄 하남미사점,경기 하남시 미사강변한강로 135 나동 1층 164호,490,358
97,레알 청아간장게장,경기 하남시 미사강변중앙로 173 미사리버에비뉴 2층206호,1940,1557
98,아토키토 하남위례점,경기 하남시 위례중앙로 185 근린생활시설동 1층 14호,14387,11263
99,김뚜껑 부대찌개 미사역점,경기 하남시 미사강변중앙로 173 1층 106호,1940,1557
100,운미가,경기 하남시 미사강변대로34번길 100 1층 104호,2801,2262
101,미사정육왕,경기 하남시 미사강변중앙로170번길 12 1층,1953,1568
102,라스트춘선 하남점,"경기 하남시 미사강변중앙로 190 117호, 118호",1735,1382
103,밥밥디라라 하남미사강변점,경기 하남시 미사강변대로54번길 75 101호,2959,2401
104,또래오래 북위례점,경기 하남시 위례학암로 25 지하1층,12696,9846
