,0,1
0,0,인생아구찜 하남점
1,1,아부찌부대찌개 하남감일점
2,2,삼백돈 돈가츠 하남미사점
3,3,카페 송그레
4,4,베르온
5,5,미려돈
6,6,케이준치킨 덕풍점
7,7,설하네 디저트
8,8,신대포 불갈비 하남점
9,9,카멜레온 다이닝(CHAMELEON DINING)
10,10,타타스 하남미사점
11,11,동경규동 하남점
12,12,서울포차 하남미사점
13,13,효정패밀리아카페
14,14,직화에빠지다 하남미사점
15,15,붓다텐 하남점
16,16,참토스트 하남미사점
17,17,요트(YOTE)
18,18,투비 버거
19,19,브런치빈 미사점
20,20,파티인테이블
21,21,나벨라
22,22,할머니가래떡볶이 하남시청역점
23,23,프랭크버거 하남강변로점
24,24,백채김치찌개 하남신장점
25,25,백초묵은삼겹살
26,26,빽정
27,27,우나기 현
28,28,덕찡찡마켓
29,29,1984그수육집칼국수 하남미사
30,30,나진국밥 하남미사점
31,31,멕시카나치킨 하남풍산점
32,32,한라맥주 미사신도시점
33,33,한신포차 하남감일점
34,34,굽네치킨 감일지구점
35,35,미스터 촌돼지
36,36,삼동소바 하남미사점
37,37,피자컴퍼니 감일 마천점
38,38,훈초밥 미사본점
39,39,대한 냉면 미사점
40,40,잭슨피자 하남미사점
41,41,싸닭(덕풍시장본점)
42,42,피자미남 하남미사점
43,43,고기싸롱 미사신도시점
44,44,호정의 식탁
45,45,동근이 숯불두마리치킨 하남감일점
46,46,천일뼈해장국
47,47,플로우나인 하남미사점
48,48,딤타오 하남스타필드점
49,49,다루마 고로케
50,50,광평도새기촌 미사강변점
51,51,벌봉돈까스
52,52,몽촌토성 보리밥 손 칼국수
53,53,삼촌네 조개찜
54,54,탐나종합어시장 미사역점
55,55,동명카츠 하남덕풍점
56,56,봉자 막창 하남미사점
57,57,바다향왕코다리 서하남IC점
58,58,써니의 식탁
59,59,고급양식 하남점
60,60,에이치 베이커
61,61,권현숙의 미사리 팔당냉면 란주도삭면
62,62,안녕숯불&올리브도시락 하남미사점
63,63,꼬꼬천국
64,64,죽이야기 감일점
65,65,정대감 민물장어
66,66,빅빅버거 하남미사점
67,67,고기랑 조개당
68,68,동궁찜닭 하남미사점
69,69,옐로우스케일
70,70,손  쿡희
71,71,버거 스테이지 하남미사점
72,72,명륜진사갈비 하남스타필드점
73,73,더 노벰버 라운지(하남풍산점)
74,74,찐한삼촌
75,75,현정이네 해물예식장
76,76,로바타 미자
77,77,히츠지야 하남미사점
78,78,지호한방삼계탕 하남 직영점
79,79,불백 경성원
80,80,화복칼국수
81,81,장꼬
82,82,젠가든(Zen Garden)
83,83,노랑통닭 하남감일점
84,84,형노가(하남5호점)
85,85,갓텐익스프레스스타필드 하남점
86,86,배떡 하남미사점
87,87,계경순대국 미사역점
88,88,석바다 영양탕
89,89,주식회사 고덕푸드
90,90,스타클럽 5 푸드풋팅(star club 5 food futting)
91,91,부엉이 돈가스 위례스타필드점
92,92,소소떡볶이 하남미사점
93,93,인생장칼 하남풍산점
94,94,디오 베네디또
95,95,봉평 메밀옥
96,96,희노애락포차
97,97,감성낙곱새 하남미사점
98,98,한국피자헛 하남미사점
99,99,위례제주도니
100,100,뱁스카페
101,101,소반짓고
102,102,빵먹는 코끼리
103,103,교촌치킨 미사1호점
104,104,마시쏘부대찌개 미사역직영점
105,105,리틀 블루문(LITTLE BLUE MOON)
106,106,탭플레이커피 스타필드 하남점
107,107,오천량주막
108,108,한채당 정원까페
109,109,구석집 하남미사점
110,110,오늘밤 노가리
111,111,미사냉삼집
112,112,장터 전 일번지
113,113,요기조림
114,114,깐부 불쭈꾸미 동태탕
115,115,도령 남원추어탕
116,116,원조 부안집 하남풍산역점
117,117,멕시카나 하남미사점
118,118,권동식당
119,119,왕노가리천국
120,120,훈마루
121,121,바니포차
122,122,미분당 하남미사점
123,123,반미362 하남미사점
124,124,서부한우숯불구이
125,125,파슷타애요 하남점
126,126,모뜰
