🙂,🙂,맛있어요 
매장이 적당히 넓고 시원해요! 곱창순대국밥을 먹었는데 잡내 없고 고소했어요. 근데 곱창이라 그런지 아주 살짝 질긴 감은 있어요! 메뉴 중에 마라순대국??이 있던데 다음에 오면 한 번 먹어보고 싶네용. 반찬은 무난무난했고 공기밥이 무한리필이라는 거 보고 깜짝 놀랐어요. 귀하다… 쌈장에 곱창을 찍어먹는 거슬ㄹ 추천합니다~~,지난번에 일반 순대국 먹어보고세번째 방문입니다!새로 나온 마라 순대국도 맛있어요!ㅎㅎ,이런 맛집을 왜 이제 알았는지ㅠㅠ 매일 가고싶어요!
가성비 갑!!!질 좋은 소고기 무한 리필에 장어돼지고기까지 다 먹을수 있는곳.자주 못 먹는 LA갈비 양념도 진짜 맛있다.더욱더 매력적인건 생맥주 무한리필까지~~~,영수증 인식을 잘못한듯 한데요.1인 29700원입니다.소고기 장어가 메인이고 국 반찬 시타 튀김류 있습니다.소고기 안질기고 장어 퍽퍽하지 않고 맛있습니다.반찬들도 맛있고 김치 특히 맛나네요..고기싸롱 명륜진사 보다 더 고급스런 곳을 찾으신다면이곳을 추천합니다.일하시는분들도 친철하시고 테이블도 고급스럽고깨끗합니다. 추천!,벌써 몇번째인지 모를 생활맥주 입니다.집근처에 이렇게 편하게 맛있는 음식에 시원한 생맥주를 즐길수있는 공간이 있다는게 너무 좋네요! 곧 추워져서 테라스가 없어지기 전에 더 바짝 즐겨야겠어요!
미사 떡볶이 맛집 청년다방 미사역점. 평일 12시 반에 방문했더니 손님이 많더라고요ㅎㅎ 근데 1시면 다 빠져서 여유롭게 즐기고 싶으신 분들은 1시 이후에 방문하는 걸 추천해요!청년 세트로 차돌 떡볶이 3인 버터갈릭 감자튀김 한라봉 에이드 주문했어요. 체인점마다 맛이 살짝 다르지만 미사역점은 맛있어서 강추해요! 떡볶이 안의 차돌박이도 질기지 않아서 좋더라고요. 버터갈릭 감튀는 말해뭐해 주문하자마자 튀기시는건지 바삭하고 따끈따끈해서 더 맛있었어요. 한라봉 에이드는 탄산은 별로 없었지만 한라봉만의 상큼달달함이 강해서 좋았어요. 직원분들도 친절하셔서 추천해요!*제품을 제공받아 작성된 리뷰입니다*,불향차돌떡볶이로 주문했는데 양도 많고 떡볶이도 라면도 너무 맛있네요 차돌박이가 들어있어서 국물에 우려나와서 떡볶이국물의 감칠맛이 나더라구용양이많아서 먹다가 포장 🤣국물에 밥말아먹으면 진심 너무 맛있어서ㅡ 남은거 포장해왔네용:)),고기는 복불복 인가봐요🥲둘이 가서 이번엔 3인분 먹고 왔어요!추가 주문엔 이쁜 삼겹살 달라고 말씀 드렸더니 이쁜놈 주셨어요🤣
오마카세 김치찌개정식 너무 맛있어요 ~고기도 부드럽고 새우튀김도 바삭하고 라면까지~~잘먹고갑니다^^,전 여기 금돈왕돈가스에 오면 치즈돈가스만 먹는데 넘넘 맛있어요~^^ 제가 치즈를 좋아하는데 어느 곳인가는 뚝뚝 끊어지는 치즈가 나와서 실망스러운 적 있었는데  금돈 치즈돈가스는 항상 만족해요. 금방 팔리는지 지난 번 방문 때는 치즈돈가스가 동이 나서 못먹고 가기도 했네요. 오늘은 성공했어요^^ 그리고 친절하신 사장님이시라 응원합니다...  음식점 잘 되시고 대박나세요~~,이사오고 교촌 바로 주문해먹었는데 너무 맛있어요^^!
커피도 너무 맛있고 디저트도 맛난 동네 맛집입니다. 나만 알고 싶은데 그래도 사장님 대박 나시라고 리뷰 올리네요. 요 근처 오시면 꼭 들려서 커피랑 티라미수 드셔보시기를 추천합니다.,무화과 많이 올려주시는 무화과파르페 먹으러 왔어요!마침 생무화과가 먹고싶었는데 ㅎㅎㅎ 조용하고 디저트 맛있는 장소 찾으시면 추천합니다~,여행갔다 오는길에 우연히 들렀는데 음식도 맛있고넘 친절하심~ 토마토라구파스타 명란오일파스타 마르게리따 피자 먹었는데 다 맛있네요~ 생면파스타집임 👍
반찬이 아주 맛있어요,안주종류가 많아요오늘은 골벵이 맛있게 먹었어요,원래 불고기 싫어해서 불고기 들어간 콤비는 한번도 안먹다가 다른 메뉴 다 먹어본김에 한번 도전해봤는데 진심 맛있습니다. 불고기 땜에 계속 걸렀으면 후회할뻔... 이제 콤비도 믿고 계속 먹어야겠네요. 역시 호미스 갓갓
친절한 사장님 덕에 자주 시키게 되네요너무 맛있어용,양이 항상 푸짐하고 사장님도 친절하셔서 자주 먹는데요^^오랫동안 적게 일하고 돈 많이 버심 좋겠습니다🥰왕새우치킨 퍽퍽하지도 않고 촉촉하고 넘 맛있어요!!,3인 가족 꾸러기세트 주문해서 먹었는데양도 적당하고 맛있어요~동치미도 너무 시원하고 맛있었고 주먹밥도 맛있었어요오늘은 간단히 저녁 먹으려고 온건데다음번엔 지인들이랑 술한잔 하러오면 좋겠다는 생각이 드네요
가족들과 함께 첫 방문인데 음식도 다 맛있고 엄청 넓고 친절하시고 매우 만족한 식사였습니당~ 최고최고!!! 더 흥하시기를 기원합니다.,여름엔 내부가 좀 더워요...가끔씩 반찬이 엄청 짜거나국이 너무 싱겁거나 그렇습니다.메뉴가 다양해서 만족합니다,폭염 물냉면먹고 뼛속까지 시원해지는 느낌이였습니다. 양도 많고 맛도 좋고 가성비 👍 
괜찮아요,괜찮아요,맛있어요
친절하세요,김밥수제비 맛집!,음식 사진은 못 찍었지만 구이뿐만 아니라 곱창전골도 맛있어요!다만 전골만 시키니 셀프바 이용하시는 걸 굉장히 불편해하시는 거 같더라고요.소스를 찍어먹고 싶어 셀프바에서 만들고 있는데 소스는 구이에 먹는 거라고 말씀하시더라고요.알고 있고 전골 곱창에 찍어 먹으려고 한다고 말씀드렸어요. 전골 안에 부추도 들어가 있길래 그럼 혹시 부추도 먹으면 안 되는 거냐고 여쭤보니 그것도 구이에 먹는 거라고 하시곤 선심 쓰듯이 “아 드세요” 하셔서 먹지 않았어요.<전골만 시키면 셀프바 이용불가>라는 내용이 없어 메뉴를 시킨 사람은 누구나 이용할 수 있는 줄 알았어요.안 된다고 명시해 주셨으면 맛있게 먹으러 가서 서로 기분 상할 일 없었을 텐데 이 부분은 매우 아쉬워요.
속이 편하고 맛있어서 종종 찾게 되는 집이에요:),국물이 끝내주는 삼계탕집 사장님 정성 가득 담긴 삼계탕 맛볼수 있는 황칠삼계탕 강력추천합니다,좋아요
오랜만에가도 변함없이 맛있습니다하남에서 젤 맛있는 피자와 파스타집!,어떤 메뉴를 선택해도 다 맛있습니다!,비빔밥이 야채도 다양하고 참기름도 고소하니 맛있네요
역시 들깨 수제비가 맛나여...다른분들은 비빔 막국수 많이 드시네요,정말맛나요. 양도많고. 식사전 비빔밥이 나와서 좋인요. 신선하고 친절해요,조금 늦은저녁먹으러가서 사람들이 붐비지 않았어요~파스타는 조기품절ㅠㅠ아이들이 치즈돈가스를 좋아해서 가끔 방문하는데언제나 맛있어요!!!:)소금과 새우젓 와사비의 웃는 얼굴이 볼때마다 기분좋게 해요♡
하남검단산 산행하고 내려오는길에 들린 황금코다리 하남 검단산점입니다.건강식으로 식사를 하고 싶어 들린 곳인데  코다리 2인분의 양이 상당하였고 셀프바에 있던 밑반찬도 신선하고 맛있었습니다~특히나 막걸리를 무제한 먹을 수 있어 하남검단산 산행하고 식사하기에는 딱이였습니다 😃😍😉,새로 생긴 코다리 전문점이에요!! 시래기코다리조림 먹고 왔는데 맛있네요 ㅎㅎ양도 많고 푸짐해서 둘이 배부르게 먹고 왔어요~ 직원분들도 너무 친절하십니다,회사 근처에서 자주가던 곳이라 동네에서보고 믿고 갔어요. 역시~ 치킨 넘 맛나고 생활맥주에서만 볼수있는 소주도 무료로 말아주시고 ㅋㅋ 너무 친절하세요~ 치킨집가서 보통은 남겨서 포장해 오곤하는데 완전 순삭했서 사진이 ;; 딸램이 너무 맛있다고해서 단골 될듯합니다^^
우연히 지나가다 오게 된 곳인데 제대로 하는곳이네요~지나가는 길어 종종 들르게 될것같아요!건강한 빵집! 딱 찾던곳!^^,우연히 지나가다 오게 된 곳인데 제대로 하는곳이네요~지나가는 길어 종종 들르게 될것같아요!건강한 빵집! 딱 찾던곳!^^,역시나 제철 재료로 만든 신메뉴가 있어서 바로 주문! 조미김에 육사시미+단새우+우니 조합은 완벽 꿀맛😋 단새우 대가리까지 야무지게 튀겨주시는 센스! 부드러운 보쌈에 갓 버무린 김치로 마무리 하면 속까지 개운!! 오늘도 쌍따봉 날리고 갑니다!👍👍
